Tempo (anos)	Energia do Vácuo	Matéria-Antimatéria	Energia Escura
0.0	5.0	0.001	0.01
70351758.79396985	4.828583880272607	0.0004948415899471315	0.1265681976752575
140703517.5879397	4.663134293579042	0.000244868199141405	0.24177758087959078
211055276.38190955	4.503437848969955	0.00012117096899062368	0.35564398906838157
281407035.1758794	4.349288360658953	5.996043495075476e-05	0.4681830770593409
351758793.9698493	4.200486635253741	2.9670916964953027e-05	0.5794103171847875
422110552.7638191	4.056840267005879	1.4682403726126685e-05	0.6893410014188528
492462311.55778897	3.9181634406192614	7.265464004082211e-06	0.7979902434798813
562814070.3517588	3.7842767411709377	3.5952537594836933e-06	0.9053729809083255
633165829.1457287	3.655006970711826	1.7790810866063126e-06	1.0115039771204226
703517587.9396986	3.530186971129321	8.803633135411374e-07	1.116397823437928
773869346.7336684	3.4096554528685874	4.3564038180382136e-07	1.2200689410941867
844221105.5276382	3.2932568291245947	2.1557297917697877e-07	1.3225315832168294
914572864.3216081	3.180841055132572	1.0667447576557585e-07	1.423799836787344
984924623.1155779	3.072263472200565	5.2786967194614304e-08	1.5238876245778143
1055276381.9095478	2.967384656144114	2.6121186775070013e-08	1.622808707065081
1125628140.7035177	2.866070269799713	1.2925849595081628e-08	1.7205766843225845
1195979899.4974875	2.768190919310617	6.396247965047679e-09	1.8172049978901628
1266331658.2914574	2.6736220138957396	3.165129512720298e-09	1.9127069326220436
1336683417.0854273	2.5822436288296906	1.5662377204630989e-09	2.0070956185133038
1407035175.8793972	2.493940371379516	7.750395638291308e-10	2.100384032505037
1477386934.673367	2.408601249461304	3.835218100371384e-10	2.19258500026847
1547738693.467337	2.3261195427974624	1.8978254225817927e-10	2.283711197968293
1618090452.2613068	2.2463926763731377	9.391229495524592e-11	2.3737751540054295
1688442211.0552764	2.169322096007888	4.6471709351238117e-11	2.462789250739491
1758793969.8492463	2.0948131458762274	2.2996134542927607e-11	2.550765726191154
1829145728.6432161	2.0227749478280685	1.1379443779860431e-11	2.637716675724695
1899497487.437186	1.953120282377253	5.63102205274014e-12	2.7236540537109084
1969849246.2311559	1.8857654712433314	2.7864639056052865e-12	2.8085896751706416
2040201005.0251257	1.820630261348362	1.378858229380016e-12	2.8925352173991765
2110552763.8190956	1.7576377101867955	6.823163985380925e-13	2.9755022215716673
2180904522.6130657	1.6967140725023806	3.376385314995897e-13	3.057502094329868
2251256281.4070354	1.6377886882214527	1.670775877546719e-13	3.138546109350365
2321608040.201005	1.5807938716068726	8.267693916905338e-14	3.218645408894531
2391959798.994975	1.525664801611248	4.091198803037657e-14	3.297811005340406
2462311557.7889447	1.472339413421825	2.024495320484959e-14	3.376053782696724
2532663316.582915	1.4207582912025594	1.0018044832293029e-14	3.453384498099288
2603015075.3768845	1.3708645620513098	4.9573452329735355e-15	3.52981378328991
2673366834.1708546	1.322603791201796	2.453100597001444e-15	3.605352146078104
2743718592.964824	1.2759238785109333	1.2138961997204586e-15	3.6800099717857426
2814070351.7587943	1.230774956282288	6.006863255004492e-16	3.753797524674872
2884422110.552764	1.1871092884857628	2.9724457637014296e-16	3.826724949358886
2954773869.346734	1.144881171442082	1.4708897877416284e-16	3.8988022721972477
3025125628.1407037	1.1040468360482827	7.278574412030674e-17	3.970039402673958
3095477386.934674	1.064564351627131	3.60174133459776e-17	4.0404461347599465
3165829145.7286434	1.0263935314892136	1.782291408590662e-17	4.110032148259585
3236180904.5226135	0.9894958403013367	8.819519143761111e-18	4.17880701014152
3306532663.316583	0.9538343033588669	4.364264875667935e-18	4.24678017585396
3376884422.110553	0.9193734178626704	2.1596197700259525e-18	4.313960990624662
3447236180.904523	0.8860790663034404	1.0686696806808912e-18	4.380358690745747
3517587939.6984925	0.8539184320573895	5.288222039164284e-19	4.445982404843541
3587939698.4924626	0.8228599172975579	2.6168322018535113e-19	4.5108411551336225
3658291457.2864323	0.7928730633243747	1.2949174073900423e-19	4.574943858661225
3728643216.0804024	0.7639284734175769	6.407789887231048e-20	4.6382993285271965
3798994974.874372	0.735997738309229	3.1708409358445784e-20	4.700916275099653
3869346733.668342	0.709053364374352	1.569063970162779e-20	4.762803307211519
3939698492.4623117	0.6830687046316413	7.764381097241066e-21	4.823968933344112
4010050251.256282	0.6580178926419252	3.842138687114216e-21	4.88442156279691
4080402010.0502515	0.6338757793864597	1.901250016728993e-21	4.944169506843703
4150753768.8442216	0.6106178732008695	9.408175811651835e-22	5.0032209798752625
4221105527.638191	0.5882202828336085	4.6555566771399305e-22	5.061584100528686
4291457286.4321613	0.5666596636902376	2.303763068204903e-22	5.119266892803582
4361809045.226131	0.545913167316686	1.1399977795319943e-22	5.176277287165242
4432160804.020101	0.525958394165982	5.641183137598145e-23	5.232623121634953
4502512562.814071	0.5067733496838003	2.791492032992009e-23	5.288312142867598
4572864321.608041	0.4883364037386093	1.3813463559305136e-23	5.343352007216707
4643216080.40201	0.4706262534122751	6.835476270363352e-24	5.397750281787067
4713567839.19598	0.4536218891567321	3.382477945672484e-24	5.451514445475097
4783919597.98995	0.4373025643118647	1.673790764597676e-24	5.504651889997064
4854271356.78392	0.42164776796905235	8.282612831923373e-25	5.557169920905331
4924623115.577889	0.4066372011540402	4.098581302665497e-25	5.6090757585927555
4994974874.37186	0.39225075629191775	2.0281484883385762e-25	5.660376539285375
5065326633.16583	0.3784684999061214	1.0036122226183306e-25	5.711079316023527
5135678391.9598	0.3652706584925341	4.9662906793082827e-26	5.761191059631529
5206030150.753769	0.3526376074990576	2.4575271758885434e-26	5.810718659676057
5276381909.547739	0.3405498633304804	1.2160866550549687e-26	5.859668925413347
5346733668.341709	0.3289880782881626	6.0177025390088414e-27	5.908048586725366
5417085427.135679	0.3179330383440231	2.9778094922320198e-27	5.955864295045055
5487437185.929648	0.3073656636386396	1.4735439836957714e-27	6.003122624270807
5557788944.7236185	0.29726701158398405	7.29170847749039e-28	6.049830071670259
5628140703.517589	0.28761828244247023	3.6082406164323157e-28	6.0959930587735744
5698492462.311558	0.2784008272456456	1.785507523547207e-28	6.1416179322562945
5768844221.105528	0.26959615790805763	8.835433818146574e-29	6.186710964811914
5839195979.899498	0.26118595938460015	4.3721401184442974e-29	6.231278356014258
5909547738.693468	0.2531521037130483	2.163516767682612e-29	6.2753262331698485
5979899497.487437	0.24547666577756314	1.0705980771973482e-29	6.318860652160294
6050251256.281407	0.23814194062369776	5.2977645471467666e-30	6.361887598274883
6120603015.075377	0.23113046215093228	2.6215542316756462e-30	6.40441298703347
6190954773.869348	0.22442502300499614	1.2972540641350052e-30	6.446442664999752
6261306532.663317	0.21800869548924962	6.4193526366194744e-31	6.4879824105850945
6331658291.457287	0.21186485331220004	3.1765626651360862e-31	6.52903793484296
6402010050.251257	0.2059771939868398	1.5718953197826464e-31	6.56961488225409
6472361809.045227	0.200329761696916	7.77839179271687e-32	6.609718831502532
6542713567.839196	0.1949069704454961	3.849071761939783e-32	6.64935529624262
6613065326.633166	0.18969362730226805	1.9046807904988855e-32	6.688529725857009
6683417085.427136	0.18467495556790894	9.42515270712226e-33	6.727247506205889
6753768844.221106	0.17983661767657289	4.6639575510869475e-33	6.765513960367442
6824120603.015076	0.17516473766106722	2.307920170025758e-33	6.803334349369693
6894472361.809046	0.17064592300959824	1.1420548864065981e-33	6.840713872913806
6964824120.603016	0.16626728574804878	5.651362557963306e-34	6.8776576700889684
7035175879.396985	0.16201646258758437	2.7965292335502857e-34	6.914170820078934
7105527638.190955	0.15788163398394167	1.3838389722636536e-34	6.950258342860321
7175879396.984925	0.15385154196200126	6.847810772657497e-35	6.985925199892789
7246231155.778895	0.14991550656715563	3.388581570398924e-35	7.021176294801156
7316582914.572865	0.14606344081351952	1.6768110919617484e-35	7.056016474049567
7386934673.366835	0.14228586400813942	8.297558667873358e-36	7.090450527607812
7457286432.160805	0.13857391334001917	4.1059771238900476e-36	7.1244831896098635
7527638190.954775	0.1349193536329248	2.0318082482722975e-36	7.1581191390047465
7597989949.748744	0.13131458517152722	1.0054232240427724e-36	7.191363000199825
7668341708.542714	0.12775264952143178	4.975252267550955e-37	7.224219343696575
7738693467.336684	0.12422723327497727	2.461961742462982e-37	7.256692686718963
7809045226.130654	0.12073266966630596	1.21828106302939e-37	7.288787493834491
7879396984.9246235	0.11726393801106211	6.028561382319437e-38	7.320508177568
7949748743.718594	0.11381666093810429	2.983182899520822e-38	7.351859099008324
8020100502.512564	0.11038709939276464	1.4762029691019746e-38	7.382844568407872
8090452261.306533	0.10697214540339207	7.304866243151066e-39	7.413468845775219
8160804020.100503	0.10356931261512409	3.6147516261119956e-39	7.443736141460782
8231155778.894473	0.10017672460697874	1.788729441929236e-39	7.473650616735689
8301507537.688443	0.09679310102038526	8.851377210295068e-40	7.503216384363876
8371859296.482412	0.09341774153912794	4.3800295719642086e-40	7.532437509167535
8442211055.276382	0.09005050777229606	2.1674207974062184e-40	7.56131800858595
8512562814.070353	0.08669180310316543	1.072529953472971e-40	7.58986185322785
8582914572.864323	0.08334255057792021	5.30732427442487e-41	7.618072967417287
8653266331.658293	0.08000416891871551	2.626284782321404e-41	7.645955229733176
8723618090.452263	0.07667854675572028	1.2995949373378773e-41	7.673512473542539
8793969849.246231	0.07336801518242052	6.430936250795259e-42	7.700748487527525
8864321608.040201	0.07007531874756184	3.182294719192164e-42	7.727667016206303
8934673366.834171	0.06680358500561911	1.5747317785254085e-42	7.754271760447866
9005025125.628141	0.06355629275555814	7.792427770257857e-43	7.780566377980843
9075376884.422112	0.06033723910486701	3.856017347382572e-43	7.806554483896383
